Step_1;Step_2;Step_3;Step_4;Step_5;Exporter;Product;Allocated_Volume
HUB-BR-1301902;PROCESSING-BR-1301902;HUB-BR-1301902;PORT-BR-1302603;;AMAGGI;SOYBEAN;3148.4218084655545
PRODUCTION-BR-1400027;PROCESSING-BR-1301902;HUB-BR-1301902;PORT-BR-1302603;;AMAGGI;SOYBEAN;1731.6319946560548
PRODUCTION-BR-1400050;PROCESSING-BR-1301902;HUB-BR-1301902;PORT-BR-1302603;;AMAGGI;SOYBEAN;144895.44688154006
PRODUCTION-BR-1400100;PROCESSING-BR-1301902;HUB-BR-1301902;PORT-BR-1302603;;AMAGGI;SOYBEAN;295187.63297024113
PRODUCTION-BR-1400209;PROCESSING-BR-1301902;HUB-BR-1301902;PORT-BR-1302603;;AMAGGI;SOYBEAN;403346.6687041391
PRODUCTION-BR-1400308;PROCESSING-BR-1301902;HUB-BR-1301902;PORT-BR-1302603;;AMAGGI;SOYBEAN;37101.002590958095
PRODUCTION-BR-1400050;HUB-BR-1301902;PORT-BR-1302603;;;AMAGGI;SOYBEAN;375414.1812988
PRODUCTION-BR-1400209;HUB-BR-1301902;PORT-BR-1302603;;;AMAGGI;SOYBEAN;509996.6236512
PRODUCTION-BR-1506195;HUB-BR-1506195;PORT-BR-1600600;;;LOUIS DREYFUS;SOYBEAN;121332.0
PRODUCTION-BR-1506195;HUB-BR-1506807;PORT-BR-1506807;;;CARGILL;SOYBEAN;1059.6102191163202
PRODUCTION-BR-1506807;HUB-BR-1506807;PORT-BR-1506807;;;CARGILL;SOYBEAN;122262.71759034462
PRODUCTION-BR-5100250;HUB-BR-1506807;PORT-BR-1506807;;;CARGILL;SOYBEAN;393410.0757909623
PRODUCTION-BR-5104559;HUB-BR-1506807;PORT-BR-1506807;;;CARGILL;SOYBEAN;477824.6449334035
PRODUCTION-BR-5105606;HUB-BR-1506807;PORT-BR-1506807;;;CARGILL;SOYBEAN;249755.2699497384
PRODUCTION-BR-5107941;HUB-BR-1506807;PORT-BR-1506807;;;CARGILL;SOYBEAN;127616.45151643494
HUB-BR-1506807;PORT-BR-1506807;;;;CARGILL;SOYBEAN;75250.0
HUB-BR-1506807;PORT-BR-1506807;;;;FERTITEX AGRO - FERTILIZANTES E PRODUTOS AGROPECUARIOS LTDA;SOYBEAN;188000.0
PRODUCTION-BR-1720655;HUB-BR-1720655;PORT-BR-2111300;;;SHANGHAI PENGXIN GROUP CO., LTD.;SOYBEAN;20663.41709
PRODUCTION-BR-2100808;HUB-BR-2100808;PORT-BR-2111300;;;NOVAAGRI INFRA-ESTRUTURA DE ARMAZENAGEM E ESCOAMENTO AGRICOL;SOYBEAN;725528.90711
PRODUCTION-BR-2101400;HUB-BR-2101400;PORT-BR-2111300;;;BUNGE;SOYBEAN;15093.841662797755
PRODUCTION-BR-2209203;HUB-BR-2101400;PORT-BR-2111300;;;BUNGE;SOYBEAN;6641.694925181243
PRODUCTION-BR-2209757;HUB-BR-2101400;PORT-BR-2111300;;;BUNGE;SOYBEAN;64.46341202099924
PRODUCTION-BR-2101400;HUB-BR-2101400;PORT-BR-2111300;;;CARGILL;SOYBEAN;623117.0733936072
PRODUCTION-BR-2209203;HUB-BR-2101400;PORT-BR-2111300;;;CARGILL;SOYBEAN;274188.2150753261
PRODUCTION-BR-2209757;HUB-BR-2101400;PORT-BR-2111300;;;CARGILL;SOYBEAN;2661.234531066748
HUB-BR-2101400;PORT-BR-2111300;;;;RISA;SOYBEAN;43224.15113
PRODUCTION-BR-1713809;HUB-BR-2109007;PORT-BR-2111300;;;CARGILL;SOYBEAN;1289.6988989021795
PRODUCTION-BR-2104073;HUB-BR-2109007;PORT-BR-2111300;;;CARGILL;SOYBEAN;7322.623748211264
PRODUCTION-BR-2104107;HUB-BR-2109007;PORT-BR-2111300;;;CARGILL;SOYBEAN;65148.42337865532
PRODUCTION-BR-2201309;HUB-BR-2109007;PORT-BR-2111300;;;CARGILL;SOYBEAN;57423.126974231265
PRODUCTION-BR-2110708;HUB-BR-2111300;PORT-BR-2111300;;;BUNGE;SOYBEAN;703472.65422
HUB-BR-2111300;PORT-BR-2111300;;;;CORREDOR LOGISTICA E INFRAESTRUTURA S.A.;SOYBEAN;66868.0
PRODUCTION-BR-2928901;HUB-BR-2903201;PORT-BR-4118204;;;CARGILL;SOYBEAN;2200.0
PRODUCTION-BR-2909307;HUB-BR-2909307;PORT-BR-2927408;;;BUNGE;SOYBEAN;69250.72899999999
